dep;semaine;sursaud_cl_age_corona;Nbre_pass_Corona;Nbre_pass_tot;Nbre_hospit_Corona;Nbre_acte_corona;Nbre_acte_tot
19;2020-S10;B;0;425;0;;
19;2020-S10;C;2;259;2;;
19;2020-S10;D;0;131;0;;
19;2020-S10;E;0;261;0;;
19;2020-S11;0;3;1077;2;;
19;2020-S11;A;0;161;0;;
19;2020-S11;B;3;367;2;;
19;2020-S11;C;0;221;0;;
19;2020-S11;D;0;96;0;;
19;2020-S11;E;0;232;0;;
19;2020-S12;0;39;641;39;;
19;2020-S12;A;2;71;2;;
19;2020-S12;B;10;192;10;;
19;2020-S12;C;8;135;8;;
19;2020-S12;D;5;78;5;;
19;2020-S12;E;14;165;14;;
19;2020-S13;0;113;562;106;;
19;2020-S13;A;5;49;4;;
19;2020-S13;B;33;170;29;;
19;2020-S13;C;28;134;26;;
19;2020-S13;D;15;51;15;;
19;2020-S13;E;32;158;32;;
19;2020-S14;0;147;618;131;;
19;2020-S14;A;10;60;10;;
19;2020-S14;B;43;184;34;;
19;2020-S14;C;38;143;31;;
19;2020-S14;D;14;59;14;;
19;2020-S14;E;42;172;42;;
21;2020-S10;0;47;2164;22;5;1050
21;2020-S10;A;0;253;0;0;268
21;2020-S10;B;14;862;4;3;472
21;2020-S10;C;12;449;4;2;165
21;2020-S10;D;8;231;5;0;53
21;2020-S10;E;13;369;9;0;92
21;2020-S11;0;71;1951;42;61;891
21;2020-S11;A;1;234;0;7;232
21;2020-S11;B;21;749;5;32;435
21;2020-S11;C;15;419;11;13;126
21;2020-S11;D;13;194;8;3;42
21;2020-S11;E;21;355;18;6;56
21;2020-S12;0;96;1119;44;145;482
21;2020-S12;A;3;103;0;11;94
21;2020-S12;B;41;416;12;84;218
21;2020-S12;C;24;266;6;30;92
21;2020-S12;D;5;133;3;10;33
21;2020-S12;E;23;200;23;10;45
21;2020-S13;0;186;1052;76;185;482
21;2020-S13;A;4;70;0;7;67
21;2020-S13;B;64;375;7;113;238
21;2020-S13;C;55;271;18;40;84
21;2020-S13;D;24;138;19;13;40
21;2020-S13;E;39;198;32;12;53
21;2020-S14;0;147;972;58;110;379
21;2020-S14;A;3;78;0;6;52
21;2020-S14;B;63;383;8;74;192
21;2020-S14;C;45;237;21;19;56
21;2020-S14;D;12;107;10;2;26
21;2020-S14;E;24;167;19;9;53
22;2020-S10;0;1;1943;0;;
22;2020-S10;A;0;391;0;;
22;2020-S10;B;1;630;0;;
22;2020-S10;C;0;339;0;;
22;2020-S10;D;0;188;0;;
22;2020-S10;E;0;395;0;;
22;2020-S11;0;4;1759;0;;
22;2020-S11;A;1;397;0;;
22;2020-S11;B;2;559;0;;
22;2020-S11;C;1;326;0;;
22;2020-S11;D;0;185;0;;
22;2020-S11;E;0;292;0;;
22;2020-S12;0;35;1125;14;;
22;2020-S12;A;2;199;1;;
22;2020-S12;B;15;353;3;;
22;2020-S12;C;5;210;1;;
22;2020-S12;D;5;124;2;;
22;2020-S12;E;8;239;7;;
22;2020-S13;0;76;1026;49;;
22;2020-S13;A;0;149;0;;
22;2020-S13;B;23;311;6;;
22;2020-S13;C;18;219;12;;
22;2020-S13;D;16;116;13;;
22;2020-S13;E;19;231;18;;
22;2020-S14;0;85;954;60;;
22;2020-S14;A;0;136;0;;
22;2020-S14;B;25;306;10;;
22;2020-S14;C;16;192;10;;
22;2020-S14;D;11;105;10;;
22;2020-S14;E;33;215;30;;
23;2020-S10;0;0;456;0;;
23;2020-S10;A;0;52;0;;
23;2020-S10;B;0;122;0;;
23;2020-S10;C;0;108;0;;
23;2020-S10;D;0;45;0;;
23;2020-S10;E;0;129;0;;
23;2020-S11;0;4;461;1;;
23;2020-S11;A;0;67;0;;
23;2020-S11;B;1;139;0;;
23;2020-S11;C;3;107;1;;
23;2020-S11;D;0;46;0;;
23;2020-S11;E;0;102;0;;
23;2020-S12;0;82;376;2;;
23;2020-S12;A;4;37;0;;
23;2020-S12;B;46;128;0;;
23;2020-S12;C;30;82;1;;
23;2020-S12;D;2;51;1;;
23;2020-S12;E;0;78;0;;
23;2020-S13;0;120;363;4;;
23;2020-S13;A;0;24;0;;
23;2020-S13;B;72;140;2;;
23;2020-S13;C;36;99;1;;
23;2020-S13;D;6;40;0;;
23;2020-S13;E;6;60;1;;
23;2020-S14;0;115;359;21;;
23;2020-S14;A;3;23;1;;
23;2020-S14;B;54;113;3;;
23;2020-S14;C;34;87;5;;
23;2020-S14;D;9;42;2;;
23;2020-S14;E;15;94;10;;
24;2020-S10;0;1;1287;0;;
24;2020-S10;A;0;118;0;;
24;2020-S10;B;1;432;0;;
24;2020-S10;C;0;278;0;;
24;2020-S10;D;0;153;0;;
24;2020-S10;E;0;306;0;;
24;2020-S11;0;7;1227;6;;
24;2020-S11;A;0;141;0;;
24;2020-S11;B;2;431;2;;
24;2020-S11;C;4;272;3;;
24;2020-S11;D;0;135;0;;
24;2020-S11;E;1;248;1;;
24;2020-S12;0;26;742;20;;
24;2020-S12;A;2;62;2;;
24;2020-S12;B;8;221;5;;
24;2020-S12;C;8;177;7;;
24;2020-S12;D;3;102;2;;
24;2020-S12;E;5;180;4;;
24;2020-S13;0;167;833;54;;
24;2020-S13;A;2;50;1;;
24;2020-S13;B;62;267;12;;
24;2020-S13;C;55;234;12;;
24;2020-S13;D;15;104;9;;
24;2020-S13;E;33;178;20;;
24;2020-S14;0;180;821;67;;
24;2020-S14;A;4;44;0;;
24;2020-S14;B;79;313;26;;
24;2020-S14;C;41;196;9;;
24;2020-S14;D;18;96;7;;
24;2020-S14;E;38;172;25;;
25;2020-S10;0;12;1605;3;3;1111
25;2020-S10;A;2;357;0;1;273
25;2020-S10;B;8;573;1;0;428
25;2020-S10;C;0;300;0;1;183
25;2020-S10;D;0;136;0;1;82
25;2020-S10;E;2;239;2;0;103
25;2020-S11;0;50;1448;28;14;964
25;2020-S11;A;3;338;1;2;244
25;2020-S11;B;19;519;8;7;418
25;2020-S11;C;12;242;5;4;168
25;2020-S11;D;6;129;6;0;51
25;2020-S11;E;10;220;8;1;76
25;2020-S12;0;252;1082;76;103;812
25;2020-S12;A;23;211;6;12;178
25;2020-S12;B;101;350;9;54;336
25;2020-S12;C;69;220;16;24;164
25;2020-S12;D;28;113;19;6;56
25;2020-S12;E;31;188;26;7;72
25;2020-S13;0;379;1049;126;82;664
25;2020-S13;A;24;132;6;6;104
25;2020-S13;B;113;314;6;41;310
25;2020-S13;C;130;286;33;23;143
25;2020-S13;D;59;146;38;4;38
25;2020-S13;E;53;171;43;8;68
25;2020-S14;0;230;911;102;70;646
25;2020-S14;A;13;126;6;2;97
25;2020-S14;B;73;267;6;34;262
25;2020-S14;C;70;222;26;23;146
25;2020-S14;D;28;90;23;6;56
25;2020-S14;E;46;206;41;5;82
26;2020-S10;0;13;2353;0;;
26;2020-S10;A;1;568;0;;
26;2020-S10;B;8;794;0;;
26;2020-S10;C;4;437;0;;
26;2020-S10;D;0;204;0;;
26;2020-S10;E;0;350;0;;
26;2020-S11;0;25;2121;18;;
